MP ID,Formula,Energy Above Hull (eV),Band Gap (eV)
mp-861689,Li15Cr15SiO32,0.069304471,1.3784
mp-530262,Li15Cr2N9,0,1.3186
mp-1178074,Li15Fe15SiO32,0.094956412,1.9058
mp-1201065,Li15H9N8,0.00566611,2.6967
mp-767393,Li15Ti11Nb5O42,0.027142125,2.2795
mp-1178192,Li15V6(P8O29)2,0.014503198,1.0735
mp-1245780,Li15W7N19,0.019749625,1.583
mp-849382,Li16Mn15Fe(PO4)16,0.001841759,3.4633
mp-6031,Li16Nb2N8O,0,3.3829
mp-14871,Li16Ta2N8O,0,3.4017
mp-774850,Li16V3Ga13O32,0.030751766,1.5151
mp-768424,Li17(CoO4)4,0.089647503,0.7742
mp-1246806,Li17Cl5O6,0.072054428,2.6598
mp-766611,Li17Ni11O28,0.053459304,0.7214
mp-761629,Li17V16O32,0.023542106,0.8935
mp-759194,Li19Cr4P8O35F,0.061769195,1.9694
mp-1223171,Li19V12O32,0.060488144,0.6929
