formula,SIC,,,,,,
KLiMoO4,0.09160744,,,,,,
KLiNd2(MoO4)4,0.7672545,,,,,,
KLiNiO2,0.0181347,,,,,,
KLiO,0.16349499,,,,,,
KLiO3,0.1595765,,,,,,
KLiS,0.318263905,,,,,,
KLiSb(PO4)2,0.01835896,,,,,,
KLiSb3O8,0.08202053,,,,,,
KLiSe,0.31711325,,,,,,
KLiSi2O5,0.01293106,,,,,,
KLiSm2(MoO4)4,0.7672545,,,,,,
KLiSnO2,0.26134098,,,,,,
KLiSO4,0.032287945,,,,,,
KLiTb2(MoO4)4,0.7649716,,,,,,
KLiTe,0.31711325,,,,,,
KLiTi2(PO5)2,0.018411715,,,,,,
KLiTm2(MoO4)4,0.7760913,,,,,,
KLiWO4,0.105403275,,,,,,
KLiWO5,0.01230494,,,,,,
KLiY2(MoO4)4,0.8518343,,,,,,
KLiYb2(MoO4)4,0.7649716,,,,,,
KLiYF5,0.02059754,,,,,,
KLiZn3O4,0.03816877,,,,,,
KLiZnO2,0.24109013,,,,,,
KLiZnP2O7,0.01322767,,,,,,
KLiZnS2,0.46775025,,,,,,
KNa2Li3Cr2(Si2O5)6,0.4876918,,,,,,
KNa2Li3Fe2(Si2O5)6,0.48664007,,,,,,
KNa2Li3Zr2(Si2O5)6,0.49970454,,,,,,
KNa2LiZr2(Si2O5)6,0.48453155,,,,,,
KNaLi2(SO4)2,0.02010328,,,,,,
Li,0.476096094,,,,,,
Li(BC)2,0.09581403,,,,,,
Li(BH)3,0.1952135,,,,,,
Li(BH)5,0.20929372,,,,,,
Li(BH)6,0.098157047,,,,,,
Li(Bi3O5)4,0.03127833,,,,,,
Li(BiO2)2,0.056223725,,,,,,
Li(BiO2)3,0.06787368,,,,,,
Li(CeGe)4,0.20625177,,,,,,
Li(ClO2)2,0.18672357,,,,,,
Li(CN)2,0.02577461,,,,,,
Li(CO)2,0.03976764,,,,,,
Li(Co3P2)2,0.20845112,,,,,,
Li(CoGe)6,0.2095658,,,,,,
Li(CoO2)2,0.042711446,,,,,,
Li(CoO2)3,0.032411498,,,,,,
Li(CoO2)4,0.096632987,,,,,,
Li(CoO2)8,0.02948185,,,,,,
Li(CoS2)2,0.09565342,,,,,,
Li(CrS2)2,0.159403369,,,,,,
Li(CuN)3,0.15363604,,,,,,
Li(CuO)2,0.043355415,,,,,,
Li(CuO)3,0.072540348,,,,,,
Li(CuO2)2,0.01591502,,,,,,
Li(CuP)2,0.15292127,,,,,,
Li(ErGe)4,0.20625177,,,,,,
